회사명,내용,링크
㈜인라이플,(챗봇/AI) Python 개발자 및 딥러닝 개발 응용연구 부문 경력직 모집,http://www.jobkorea.co.kr/Recruit/GI_Read/33167024?Oem_Code=C1&logpath=1
㈜판도라티비,[ 코박(Cobak) ] Back-end 개발자 채용 (Python/django),http://www.jobkorea.co.kr/Recruit/GI_Read/33134004?Oem_Code=C1&logpath=1
에셋플러스자산운용㈜,"사내 벤처 알파브릿지의 데이터 엔지니어 충원(Python, 자연어처리, 머신러닝, 딥러닝, 데이터분석, 빅데이터)",http://www.jobkorea.co.kr/Recruit/GI_Read/33118820?Oem_Code=C1&logpath=1
비아이매트릭스,데이터분석 솔루션 개발자(python) 채용,http://www.jobkorea.co.kr/Recruit/GI_Read/33066406?Oem_Code=C1&logpath=1
㈜웹타임,"파이썬, 인공지능, 빅데이터, PowerBI, 태블로 강사 모집",http://www.jobkorea.co.kr/Recruit/GI_Read/32637012?Oem_Code=C1&logpath=1
㈜비타소프트,"인공지능 (딥러닝) 개발자, Python 개발능력자 모십니다(신입과 경력).",http://www.jobkorea.co.kr/Recruit/GI_Read/32599984?Oem_Code=C1&logpath=1
㈜이안아이티컨설팅,"Python - ( 가양동, 3개월, 월650만원 )",http://www.jobkorea.co.kr/Recruit/GI_Read/33185800?Oem_Code=C1&logpath=1
㈜디지토피아,[여의도] oo전자 Python 장비로그 전처리 및 데이터 Set 생성  개발과제,http://www.jobkorea.co.kr/Recruit/GI_Read/33177743?Oem_Code=C1&logpath=1
에스알유니버스,XML/http 프로토콜/Python/ django/채용 공고 (프리랜서),http://www.jobkorea.co.kr/Recruit/GI_Read/33177176?Oem_Code=C1&logpath=1
㈜포유컴퓨터,"(주)포유컴퓨터 JAVA, Python, 로그분석 웹 프로그래머 모집",http://www.jobkorea.co.kr/Recruit/GI_Read/33173202?Oem_Code=C1&logpath=1
㈜헥사팩토리,"ROS, Python, C++ 개발 경력자 채용",http://www.jobkorea.co.kr/Recruit/GI_Read/33172009?Oem_Code=C1&logpath=1
㈜새롬정보시스템,"[경력] AI(watson) 사업부문 Python,java 개발자 채용 공고",http://www.jobkorea.co.kr/Recruit/GI_Read/33171963?Oem_Code=C1&logpath=1
㈜펀진,웹개발자(1명) / 파이썬-python3개발자(1명) / Android app.개발자(1명) 정규직 채용,http://www.jobkorea.co.kr/Recruit/GI_Read/33171443?Oem_Code=C1&logpath=1
㈜포엔,(주)포엔 기업부설연구소에서 Python 개발자를 채용합니다.,http://www.jobkorea.co.kr/Recruit/GI_Read/33169676?Oem_Code=C1&logpath=1
에듀베이션㈜,Python 개발자 구함,http://www.jobkorea.co.kr/Recruit/GI_Read/33161844?Oem_Code=C1&logpath=1
㈜스캐터엑스,삼성반도체 AI Platform 구축(JAVA/Python)프리랜서 모집,http://www.jobkorea.co.kr/Recruit/GI_Read/33159586?Oem_Code=C1&logpath=1
㈜앰진시큐러스,백엔드 개발자 모집(Python/Java/C/C++),http://www.jobkorea.co.kr/Recruit/GI_Read/33155602?Oem_Code=C1&logpath=1
㈜인브레인,파이썬(Phython) 개발자 신입 채용 - 정규직,http://www.jobkorea.co.kr/Recruit/GI_Read/33154651?Oem_Code=C1&logpath=1
㈜데이터코리아,웹 프로그래머 (Java/HTML/Python) 계약직 개발자 모집,http://www.jobkorea.co.kr/Recruit/GI_Read/33153813?Oem_Code=C1&logpath=1
우리회계법인,Data 분석(python)/전산감사/IT관리,http://www.jobkorea.co.kr/Recruit/GI_Read/33151290?Oem_Code=C1&logpath=1
㈜봄마루,python php javascript HTML 개발자 모집,http://www.jobkorea.co.kr/Recruit/GI_Read/33150205?Oem_Code=C1&logpath=1
옵트미어(Optmier),단기 사이드 프로젝트 파이썬(ML) 개발자 채용합니다.,http://www.jobkorea.co.kr/Recruit/GI_Read/33149249?Oem_Code=C1&logpath=1
